method,scenario_family,challenge_type,target_status,method_applicable,primary_metric_name,primary_metric_unit,metric,n_anchors_valid,bootstrap_replicates,bootstrap_seed,clean_point_estimate,clean_ci_lower_95,clean_ci_upper_95,challenge_point_estimate,challenge_ci_lower_95,challenge_ci_upper_95,deterioration_point_estimate,deterioration_ci_lower_95,deterioration_ci_upper_95
Hilbert,pre_amplitude_trajectory,transient_artifact,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,target_segment_shape_nrmse,11,2000,4113847584,0.19283840743891345,0.15117451751162508,0.29702716678909885,0.20684213637361587,0.1577316733544895,0.3065313810029333,0.00016400858932499873,-0.0028297719129065924,0.004843857592963768
Hilbert,pre_amplitude_trajectory,transient_artifact,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,trajectory_pearson,11,2000,588509622,0.9758003896492407,0.8320432651633136,0.983350848547488,0.9744727383370444,0.8158773714949245,0.9862794613374979,0.00018702888731958467,-0.00055887563641005,0.013992620874953177
Hilbert,pre_amplitude_trajectory,transient_artifact,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,envelope_log_rate_absolute_error_per_day,11,2000,29269776,0.159753748317187,0.0511358101136985,0.26784142030792923,0.12682448591096904,0.05331722877397228,0.28640739582445784,-5.995879828285533e-05,-0.00473132368804105,0.0028007514588033328
Hilbert,pre_amplitude_trajectory,transient_artifact,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,ratio_log_error,11,2000,2000503744,0.0523704895870758,0.02494562711543845,0.5235845398994834,0.09506925140918887,0.037383550617567984,0.4876071653383942,0.00404496155283907,-0.0007071395937212031,0.017242396222463666
Hilbert,pre_amplitude_trajectory,transient_artifact,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,primary_error,41,2000,1996728675,0.1977180889340599,0.18149705809902617,0.21224904846011516,0.21399894117059873,0.19825206551133354,0.2372807495639177,0.010006390080180172,0.0052532887172255655,0.01706479253403005
Hilbert,pre_amplitude_trajectory,transient_artifact,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,target_segment_shape_nrmse,41,2000,4027141436,0.13383596325662578,0.12489946105974785,0.1364609858525277,0.1305241537778969,0.12620695750685554,0.13929864305634504,0.0031503802504219275,0.0010389143476459833,0.005220224122844355
Hilbert,pre_amplitude_trajectory,transient_artifact,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,trajectory_pearson,41,2000,1850470833,0.992153644274688,0.9912385716452936,0.9946024496360678,0.9909914580239065,0.9890647517289306,0.9923764864225886,0.0011486719212455698,0.0008075117344617522,0.0016669895216711028
Hilbert,pre_amplitude_trajectory,transient_artifact,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,envelope_log_rate_absolute_error_per_day,41,2000,1472531146,0.14789684074645093,0.12472278233842732,0.1742672144092969,0.1492078549479627,0.12335630559454037,0.17032360859242812,0.002019985658183454,-0.00013819677623660986,0.00408903749812678
Hilbert,pre_amplitude_trajectory,transient_artifact,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,ratio_log_error,41,2000,3877184168,0.04651614308798925,0.035274123698498555,0.053493751022764754,0.06303562188409537,0.05249188031082863,0.07618109547658544,0.009700864213061128,0.006759101450258792,0.014673387936556266
Hilbert,pre_amplitude_trajectory,transient_artifact,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,primary_error,1,0,232994489,0.260002183661168,,,0.2780009194698018,,,-0.006900898904176889,,
