method,metric,analysis_role,circular,animal_id,sex,level,spinal_position,spinal_region,value,n_recordings_collapsed,recording_ids
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_2M,M,L1,13.0,lumbar,0.1211130465283017,1,2C-2ML1
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_1F,F,L2,14.0,lumbar,-0.3829221834557553,1,2D-1FL2
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_1F,F,L4,16.0,lumbar,-0.11142142961192181,2,3A-1FL4 | 4D-1FL4
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_1F,F,T10,10.0,thoracic,-0.5062577111876627,1,3D-1FT10
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_2M,M,T10,10.0,thoracic,-0.4538191615544826,1,4A-2MT10
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_2M,M,T5,5.0,thoracic,-0.2677705531138076,1,4C-2MT5
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_2M,M,L2,14.0,lumbar,-0.1219562659865062,1,5A-2ML2
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_1F,F,T7,7.0,thoracic,-0.5225452267619614,1,5C-1FT7
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_1F,F,L1,13.0,lumbar,-0.2049633700463994,1,6A-1FL1
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_2M,M,L3,15.0,lumbar,-0.3252225078812745,1,6B-2ML3
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_1F,F,T12,12.0,thoracic,-0.2756894806117445,1,7C-1FT12
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_2M,M,T12,12.0,thoracic,-0.3525017887341232,1,7D-2MT12
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_1F,F,T5,5.0,thoracic,-0.2638969456095449,1,8A-1FT5
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_2M,M,L4,16.0,lumbar,-0.3178093487017302,1,8C-2ML4
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_2M,M,T7,7.0,thoracic,-0.2820162436702182,1,8D-2MT7
STFT,pre_envelope_log_rate_per_day,secondary,False,20251003_M1,M,T7,7.0,thoracic,-0.179955307671049,1,2B- 1MT7
STFT,pre_envelope_log_rate_per_day,secondary,False,20251003_M1,M,L1,13.0,lumbar,-0.0047147956411177,1,2C- M1L1
STFT,pre_envelope_log_rate_per_day,secondary,False,20251003_M1,M,L4,16.0,lumbar,-0.5297897525699929,1,2D- M1L4
STFT,post_envelope_log_rate_per_day,secondary,False,20250703_m2,F,L1,13.0,lumbar,-0.3836781427392469,1,1B-L1m2
STFT,post_envelope_log_rate_per_day,secondary,False,20250703_m2,F,L2,14.0,lumbar,-0.357506785975437,1,1D-L2m2
STFT,post_envelope_log_rate_per_day,secondary,False,20250703_m2,F,L3,15.0,lumbar,-0.4655894655335009,1,2C-L3m2
STFT,post_envelope_log_rate_per_day,secondary,False,20250703_m2,F,L4,16.0,lumbar,-0.1425669669576607,1,2D-L4m2
STFT,post_envelope_log_rate_per_day,secondary,False,20250703_m2,F,L5,17.0,lumbar,-0.4490718185866761,1,3A-L5m2
STFT,post_envelope_log_rate_per_day,secondary,False,20250703_m2,F,T10,10.0,thoracic,-0.4368660959966774,1,3B-T10m2
STFT,post_envelope_log_rate_per_day,secondary,False,20250703_m2,F,T12,12.0,thoracic,-0.5216989822727194,2,4B-T12m2 | 5B-T12m2
STFT,post_envelope_log_rate_per_day,secondary,False,20250703_m1,F,T5,5.0,thoracic,-0.3259165690333784,1,4C-T5m1
STFT,post_envelope_log_rate_per_day,secondary,False,20250703_m1,F,T7,7.0,thoracic,-0.3767571612403301,1,4D-T7m1
STFT,post_envelope_log_rate_per_day,secondary,False,20250703_m1,F,T10,10.0,thoracic,-0.5363083741970229,1,5A-T10m1
STFT,post_envelope_log_rate_per_day,secondary,False,20250626_M1,M,T12,12.0,thoracic,-0.3249423566043292,1,5C-T12
STFT,post_envelope_log_rate_per_day,secondary,False,20250626_M1,M,T10,10.0,thoracic,-0.5425086453940482,1,5D-T10
STFT,post_envelope_log_rate_per_day,secondary,False,20250626_M1,M,T7,7.0,thoracic,-0.3466500116072186,1,6A-T7
STFT,post_envelope_log_rate_per_day,secondary,False,20250626_M1,M,T5,5.0,thoracic,-0.4841395444565691,1,6B-T5
