recording_uid,recording_id,tissue,time_days_original,time_days_zero,forskolin_day_zero,drift_reference_day_zero,observed_normalised,fitted_signal,residual,baseline_component,rhythmic_component,amplitude_envelope,linear_drift_component,acute_transient_component,centering_component,transition_weight_post
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.40625,9.47222,6.78472,3.26389,-0.6592120373369452,-0.5271196532000649,-0.1320923841368803,-0.34404289445438396,-0.1979865182903158,0.19888037991806873,0.024597516743866267,1.7983525556478406e-101,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.42014,9.48611,6.78472,3.26389,-0.6467565737169104,-0.5262095583303016,-0.12054701538660884,-0.34404289445438396,-0.1971314558540043,0.1971356773432769,0.024652549177318146,1.6391900776199613e-102,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.43403,9.5,6.78472,3.26389,-0.6275139130178733,-0.5237766482128071,-0.10373726480506618,-0.34404289445438396,-0.19475357816996172,0.19540628038624253,0.024707581610770024,1.4757788379052808e-103,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.44792,9.51389,6.78472,3.26389,-0.6031624510467888,-0.5198660727914352,-0.08329637825535363,-0.34404289445438396,-0.19089803518204163,0.19369205477655285,0.024762614044221903,1.3123531626223975e-104,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.46181,9.52778,6.78472,3.26389,-0.5995848178793322,-0.5145337200544721,-0.08505109782486009,-0.34404289445438396,-0.18562071487853044,0.19199286742169866,0.02481764647767378,1.1527035953887781e-105,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.47569,9.54166,6.78472,3.26389,-0.5833897706192396,-0.5078508777100388,-0.0755388929092008,-0.34404289445438396,-0.17899286534736664,0.19030979365150297,0.02487263929094319,1.0018168772408452e-106,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.48958,9.55555,6.78472,3.26389,-0.5826683548776537,-0.4998832933108583,-0.08278506156679538,-0.34404289445438396,-0.171080313381638,0.18864027759804075,0.02492767172439507,8.584877327704028e-108,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.50347,9.56944,6.78472,3.26389,-0.5667677630222903,-0.49071939152667915,-0.07604837149561111,-0.34404289445438396,-0.16197144403091074,0.18698540757933738,0.02498270415784695,7.266366944437839e-109,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.51736,9.58333,6.78472,3.26389,-0.5317717381702539,-0.4804511249928192,-0.05132061317743469,-0.34404289445438396,-0.15175820993050268,0.185345055111253,0.025037736591298827,6.074884694346998e-110,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.53125,9.59722,6.78472,3.26389,-0.5272812932481374,-0.4691774548425646,-0.058103838405572816,-0.34404289445438396,-0.14053957221369998,0.1837190928367905,0.025092769024750706,5.016447073708939e-111,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.54514,9.61111,6.78472,3.26389,-0.4844969229410204,-0.45700345632044087,-0.027493466620579554,-0.34404289445438396,-0.12842060612502815,0.182107394516208,0.025147801458202584,4.09158814697713e-112,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.55903,9.625,6.78472,3.26389,-0.46054297576631986,-0.4440393923249012,-0.016503583441418668,-0.34404289445438396,-0.1155115745629403,0.18050983501721696,0.025202833891654463,3.2962874040428466e-113,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.57292,9.63889,6.78472,3.26389,-0.43193663319690223,-0.430399762667608,-0.001536870529294243,-0.34404289445438396,-0.10192697733909899,0.17892629030526735,0.02525786632510634,2.6229844251536038e-114,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.58681,9.65278,6.78472,3.26389,-0.38848973822914523,-0.41620233688988595,0.027712598660740717,-0.34404289445438396,-0.08778458399482887,0.1773566374339175,0.02531289875855822,2.0615972896292343e-115,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.60069,9.66666,6.78472,3.26389,-0.38564824357351063,-0.4015778433434543,0.01592959976994368,-0.34404289445438396,-0.0732150832616666,0.1758018697571605,0.02536789157182763,1.603431722026823e-116,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.61458,9.68055,6.78472,3.26389,-0.3643443950413708,-0.3866265169983161,0.022282121956945344,-0.34404289445438396,-0.058318789349980305,0.17425962624905333,0.02542292400527951,1.2295251550604064e-117,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.62847,9.69444,6.78472,3.26389,-0.3449692294102056,-0.37148047944745216,0.02651125003724658,-0.34404289445438396,-0.04322778423256824,0.17273091226165935,0.025477956438731388,9.312404829835639e-119,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.64236,9.70833,6.78472,3.26389,-0.3185860251464913,-0.3562608514758289,0.03767482632933761,-0.34404289445438396,-0.02806318869439681,0.17121560910559533,0.025532988872183266,6.966646242728103e-120,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.65625,9.72222,6.78472,3.26389,-0.3001825623509317,-0.34108721214825155,0.040904649797319836,-0.34404289445438396,-0.012944581800271355,0.16971359913269532,0.025588021305635145,5.147817604920431e-121,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.67014,9.73611,6.78472,3.26389,-0.27213568505049884,-0.3260766929472125,0.05394100789671363,-0.34404289445438396,0.002010904967315818,0.16822476572687625,0.025643053739087023,3.757162899645615e-122,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.68403,9.75,6.78472,3.26389,-0.24846147051029088,-0.31134310682730987,0.06288163631701899,-0.34404289445438396,0.01668945865376659,0.16674899329508414,0.025698086172538902,2.708534560406637e-123,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.69792,9.76389,6.78472,3.26389,-0.22587674096758023,-0.29699611837024337,0.07111937740266314,-0.34404289445438396,0.030981414677381195,0.16528616725831904,0.02575311860599078,1.9286180169006385e-124,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.71181,9.77778,6.78472,3.26389,-0.2154382968699388,-0.2831404607957486,0.06770216392580983,-0.34404289445438396,0.044782039818424046,0.16383617404273965,0.02580815103944266,1.3564242313982927e-125,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.72569,9.79166,6.78472,3.26389,-0.20522069432584425,-0.26988452032981547,0.06466382600397122,-0.34404289445438396,0.057982987471087814,0.16239993127578883,0.025863143852712066,9.441002594768726e-127,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.73958,9.80555,6.78472,3.26389,-0.18487382585907347,-0.2573018779025195,0.07242805204344605,-0.34404289445438396,0.07051059746493189,0.1609752579200782,0.025918176286163944,6.478079318644694e-128,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.75347,9.81944,6.78472,3.26389,-0.1560319189658724,-0.24548809922048834,0.08945618025461594,-0.34404289445438396,0.0822693437135112,0.1595630826864697,0.025973208719615823,4.390478829767065e-129,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.76736,9.83333,6.78472,3.26389,-0.1486999793881216,-0.23452147930974335,0.08582149992162175,-0.34404289445438396,0.09318093119080434,0.15816329593365133,0.0260282411530677,2.939104280909235e-130,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.78125,9.84722,6.78472,3.26389,-0.11801772621536456,-0.224472337134857,0.10645461091949245,-0.34404289445438396,0.1031750409322388,0.1567757889821527,0.02608327358651958,1.9433704067983207e-131,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.79514,9.86111,6.78472,3.26389,-0.11745826094637939,-0.21540260639407904,0.09794434544769966,-0.34404289445438396,0.11218973923956485,0.1554004541059077,0.02613830601997146,1.269210501193805e-132,-0.00968775719923139,1.0
