Date,Time (hr:min),time_days,counts_sec,measurement_datetime,file,path,batch,recording_id,position,sample_code,recording_uid,tissue,scn_region,spinal_region,level,forskolin_status,reported_restart_datetime,restart_on_file_20min_node,forskolin_window_start_datetime,forskolin_window_end_datetime,forskolin_estimated_datetime,forskolin_time_days,forskolin_window_start_days,forskolin_window_end_days
2025-07-04,7:00,1.29167,103.006,2025-07-04 07:00:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,7:20,1.30556,103.178,2025-07-04 07:20:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,7:40,1.31944,103.782,2025-07-04 07:40:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,8:00,1.33333,102.921,2025-07-04 08:00:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,8:20,1.34722,102.881,2025-07-04 08:20:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,8:40,1.36111,101.785,2025-07-04 08:40:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,9:00,1.375,102.944,2025-07-04 09:00:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,9:20,1.38889,102.946,2025-07-04 09:20:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,9:40,1.40278,102.632,2025-07-04 09:40:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,10:00,1.41667,101.622,2025-07-04 10:00:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
