method,metric,analysis_role,circular,animal_id,sex,tissue,value,n_recordings_collapsed,n_anatomical_units_collapsed,recording_ids
STFT,pre_amplitude_counts,descriptive,False,20250703_m1,F,SCN,17.55889600892925,1,1,6C-SCNmm1
STFT,pre_amplitude_counts,descriptive,False,20250703_m2,F,SCN,8.26240965857026,2,2,7A-SCNmm2 | 7B-SCNcm2
STFT,pre_amplitude_counts,descriptive,False,20250728_M1,F,SCN,9.836501318101174,2,2,6A-SCNrM1 | 7A-SCNcM1
STFT,pre_amplitude_counts,descriptive,False,20250728_M2,F,SCN,16.47162578700535,2,2,6B-SCNrM2 | 7B-SCNcM2
STFT,pre_amplitude_counts,descriptive,False,20250811_1F,F,SCN,4.033495917045797,1,1,1A-1FSCN
STFT,pre_amplitude_counts,descriptive,False,20250811_2M,M,SCN,2.0660719240368595,1,1,1B-2MSCN
STFT,pre_amplitude_counts,descriptive,False,20250811_3F,F,SCN,25.870383258768534,1,1,1C-3FSCN
STFT,pre_amplitude_counts,descriptive,False,20250811_4F,F,SCN,13.783337504581958,1,1,1D-4FSCN
STFT,pre_amplitude_counts,descriptive,False,20250811_2M,M,DRG,2.58065270026509,8,8,2C-2ML1 | 4A-2MT10 | 4C-2MT5 | 5A-2ML2 | 6B-2ML3 | 7D-2MT12 | 8C-2ML4 | 8D-2MT7
STFT,pre_amplitude_counts,descriptive,False,20250811_1F,F,DRG,2.4311596003557963,8,7,2D-1FL2 | 3A-1FL4 | 3D-1FT10 | 4D-1FL4 | 5C-1FT7 | 6A-1FL1 | 7C-1FT12 | 8A-1FT5
STFT,pre_amplitude_counts,descriptive,False,20251003_M1,M,SCN,6.909787722722581,1,1,2A- M1SCn
STFT,pre_amplitude_counts,descriptive,False,20251003_M1,M,DRG,6.0820975284585455,3,3,2B- 1MT7 | 2C- M1L1 | 2D- M1L4
STFT,pre_amplitude_counts,descriptive,False,20251003_M2,M,SCN,0.31943599106781295,1,1,4A- M2SCN
STFT,pre_amplitude_counts,descriptive,False,20251003_M3,M,SCN,1.6844170937937033,1,1,4B-M3SCN
STFT,post_amplitude_counts,descriptive,False,20250703_m2,F,DRG,8.140409895561257,8,7,1B-L1m2 | 1D-L2m2 | 2C-L3m2 | 2D-L4m2 | 3A-L5m2 | 3B-T10m2 | 4B-T12m2 | 5B-T12m2
STFT,post_amplitude_counts,descriptive,False,20250626_M1,M,SCN,4.663528493528032,1,1,1C-SCN
STFT,post_amplitude_counts,descriptive,False,20250703_m1,F,DRG,5.399920881108125,6,6,4C-T5m1 | 4D-T7m1 | 5A-T10m1 | 8B-L2m1 | 8C-L3m1 | 8D-L4-1m1
STFT,post_amplitude_counts,descriptive,False,20250626_M1,M,DRG,4.696821877052701,7,7,5C-T12 | 5D-T10 | 6A-T7 | 6B-T5 | 7C-L1 | 7D-L2 | 8A-L3
STFT,post_amplitude_counts,descriptive,False,20250703_m1,F,SCN,6.387710251693571,1,1,6C-SCNmm1
STFT,post_amplitude_counts,descriptive,False,20250703_m2,F,SCN,1.8762882356143264,2,2,7A-SCNmm2 | 7B-SCNcm2
STFT,post_amplitude_counts,descriptive,False,20250728_M1,F,SCN,2.5340284051506914,2,2,6A-SCNrM1 | 7A-SCNcM1
STFT,post_amplitude_counts,descriptive,False,20250728_M2,F,SCN,3.546846438636408,2,2,6B-SCNrM2 | 7B-SCNcM2
STFT,post_amplitude_counts,descriptive,False,20250811_1F,F,SCN,1.892891788189183,1,1,1A-1FSCN
STFT,post_amplitude_counts,descriptive,False,20250811_2M,M,SCN,2.847223704462633,1,1,1B-2MSCN
STFT,post_amplitude_counts,descriptive,False,20250811_3F,F,SCN,8.334300247972548,1,1,1C-3FSCN
STFT,post_amplitude_counts,descriptive,False,20250811_4F,F,SCN,6.896736327024854,1,1,1D-4FSCN
STFT,post_amplitude_counts,descriptive,False,20250811_2M,M,DRG,10.133257684227633,8,8,2C-2ML1 | 4A-2MT10 | 4C-2MT5 | 5A-2ML2 | 6B-2ML3 | 7D-2MT12 | 8C-2ML4 | 8D-2MT7
STFT,post_amplitude_counts,descriptive,False,20250811_1F,F,DRG,14.811853951943604,8,7,2D-1FL2 | 3A-1FL4 | 3D-1FT10 | 4D-1FL4 | 5C-1FT7 | 6A-1FL1 | 7C-1FT12 | 8A-1FT5
STFT,post_amplitude_counts,descriptive,False,20251003_M1,M,SCN,1.694434381334203,1,1,2A- M1SCn
STFT,post_amplitude_counts,descriptive,False,20251003_M1,M,DRG,6.672165557262643,3,3,2B- 1MT7 | 2C- M1L1 | 2D- M1L4
STFT,post_amplitude_counts,descriptive,False,20251003_M2,M,SCN,0.3076192318139172,1,1,4A- M2SCN
STFT,post_amplitude_counts,descriptive,False,20251003_M3,M,SCN,0.8318144556451535,1,1,4B-M3SCN
STFT,amplitude_ratio_post_over_pre,descriptive,False,20250703_m2,F,DRG,2.9104597196595825,8,7,1B-L1m2 | 1D-L2m2 | 2C-L3m2 | 2D-L4m2 | 3A-L5m2 | 3B-T10m2 | 4B-T12m2 | 5B-T12m2
STFT,amplitude_ratio_post_over_pre,descriptive,False,20250626_M1,M,SCN,0.36130915723067847,1,1,1C-SCN
STFT,amplitude_ratio_post_over_pre,descriptive,False,20250703_m1,F,DRG,1.2194876072565994,6,6,4C-T5m1 | 4D-T7m1 | 5A-T10m1 | 8B-L2m1 | 8C-L3m1 | 8D-L4-1m1
STFT,amplitude_ratio_post_over_pre,descriptive,False,20250626_M1,M,DRG,2.631875325583681,7,7,5C-T12 | 5D-T10 | 6A-T7 | 6B-T5 | 7C-L1 | 7D-L2 | 8A-L3
STFT,amplitude_ratio_post_over_pre,descriptive,False,20250703_m1,F,SCN,0.36378769191669114,1,1,6C-SCNmm1
STFT,amplitude_ratio_post_over_pre,descriptive,False,20250703_m2,F,SCN,0.24155164371684412,2,2,7A-SCNmm2 | 7B-SCNcm2
STFT,amplitude_ratio_post_over_pre,descriptive,False,20250728_M1,F,SCN,0.3508976316213457,2,2,6A-SCNrM1 | 7A-SCNcM1
STFT,amplitude_ratio_post_over_pre,descriptive,False,20250728_M2,F,SCN,0.19750096977791734,2,2,6B-SCNrM2 | 7B-SCNcM2
STFT,amplitude_ratio_post_over_pre,descriptive,False,20250811_1F,F,SCN,0.4692930963905797,1,1,1A-1FSCN
STFT,amplitude_ratio_post_over_pre,descriptive,False,20250811_2M,M,SCN,1.3780854728907481,1,1,1B-2MSCN
STFT,amplitude_ratio_post_over_pre,descriptive,False,20250811_3F,F,SCN,0.32215604092945593,1,1,1C-3FSCN
STFT,amplitude_ratio_post_over_pre,descriptive,False,20250811_4F,F,SCN,0.5003676594824867,1,1,1D-4FSCN
STFT,amplitude_ratio_post_over_pre,descriptive,False,20250811_2M,M,DRG,4.125774702251841,8,8,2C-2ML1 | 4A-2MT10 | 4C-2MT5 | 5A-2ML2 | 6B-2ML3 | 7D-2MT12 | 8C-2ML4 | 8D-2MT7
STFT,amplitude_ratio_post_over_pre,descriptive,False,20250811_1F,F,DRG,5.029138432997423,8,7,2D-1FL2 | 3A-1FL4 | 3D-1FT10 | 4D-1FL4 | 5C-1FT7 | 6A-1FL1 | 7C-1FT12 | 8A-1FT5
STFT,amplitude_ratio_post_over_pre,descriptive,False,20251003_M1,M,SCN,0.24522234970578305,1,1,2A- M1SCn
STFT,amplitude_ratio_post_over_pre,descriptive,False,20251003_M1,M,DRG,1.0970171928422932,3,3,2B- 1MT7 | 2C- M1L1 | 2D- M1L4
STFT,amplitude_ratio_post_over_pre,descriptive,False,20251003_M2,M,SCN,0.9630074268888906,1,1,4A- M2SCN
