method,scenario_family,scenario_level_number,scenario_level,added_component,target_status,method_applicable,primary_metric_name,primary_metric_unit,metric,point_estimate,ci_lower_95,ci_upper_95,n_anchors_valid,bootstrap_replicates,bootstrap_seed
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,ineligible,True,circular_absolute_error_radians,radians,valid_fraction,1.0,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,5,S5_pre_envelope,pre_envelope,difficult,True,circular_absolute_error_radians,radians,primary_error,0.36981152873293666,0.09233403276617791,1.4589273320123173,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,5,S5_pre_envelope,pre_envelope,difficult,True,circular_absolute_error_radians,radians,primary_error_deterioration_from_target_only,0.2259046813404415,0.027836295174587633,1.3383481945839297,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,5,S5_pre_envelope,pre_envelope,difficult,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,1.4125759874452166,0.35269002552830986,5.572691916039146,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,5,S5_pre_envelope,pre_envelope,difficult,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours_deterioration_from_target_only,0.8628923208703372,0.1063268153856167,5.1121135379075096,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,5,S5_pre_envelope,pre_envelope,difficult,True,circular_absolute_error_radians,radians,ratio_log_error,0.20930975520121095,0.07942701942690836,0.5151493176977089,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,5,S5_pre_envelope,pre_envelope,difficult,True,circular_absolute_error_radians,radians,ratio_log_error_deterioration_from_target_only,0.19359145767031805,0.07927946846713074,0.5139707869375972,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,5,S5_pre_envelope,pre_envelope,difficult,True,circular_absolute_error_radians,radians,processing_success_fraction,1.0,1.0,1.0,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,5,S5_pre_envelope,pre_envelope,difficult,True,circular_absolute_error_radians,radians,valid_fraction,1.0,1.0,1.0,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,5,S5_pre_envelope,pre_envelope,eligible,True,circular_absolute_error_radians,radians,primary_error,0.2164458247842067,0.14560811748986446,0.26610878016843964,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,5,S5_pre_envelope,pre_envelope,eligible,True,circular_absolute_error_radians,radians,primary_error_deterioration_from_target_only,0.06562331466756177,0.04621813692633836,0.12695540110604142,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,5,S5_pre_envelope,pre_envelope,eligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,0.8267621502242104,0.5561820396676174,1.0164606663350808,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,5,S5_pre_envelope,pre_envelope,eligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours_deterioration_from_target_only,0.25066259787401607,0.1765402788557954,0.4849339113177784,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,5,S5_pre_envelope,pre_envelope,eligible,True,circular_absolute_error_radians,radians,ratio_log_error,0.09165119627724665,0.07893988014612355,0.10513283751106006,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,5,S5_pre_envelope,pre_envelope,eligible,True,circular_absolute_error_radians,radians,ratio_log_error_deterioration_from_target_only,0.0814874476722757,0.06960246506790715,0.09680428490649146,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,5,S5_pre_envelope,pre_envelope,eligible,True,circular_absolute_error_radians,radians,processing_success_fraction,1.0,1.0,1.0,41,2000,20260902
