scenario_number,scenario_id,profile_type,direction,duration_hours,method,metric,primary_metric,n_anchors_total,n_anchors_valid,median,ci95_low,ci95_high,bootstrap_repeats
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,STFT,primary_pearson,False,53,53,0.7582750928555714,0.7582750928555713,0.7582754846494004,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,STFT,dynamic_range_ratio,False,53,53,0.4040079633980555,0.4009355766473976,0.4040093534428791,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,STFT,timing_error_hours,False,53,53,-3.166679999999957,-3.5000399999999843,-2.5000799999999685,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,STFT,absolute_timing_error_hours,False,53,53,3.166679999999957,2.5000799999999685,3.5000399999999843,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,STFT,within_1h_fraction,False,53,53,0.9285714285714286,0.9285714285714286,0.9285714285714286,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,CWT_pyBOAT,primary_rmse_hours,True,53,53,0.40717917333288334,0.4055313084900596,0.41236190081407914,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,CWT_pyBOAT,full_trajectory_rmse_hours,False,53,53,0.27360605772504093,0.2691805257606943,0.28527881320953513,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,CWT_pyBOAT,primary_bias_hours,False,53,53,-0.07087046011578559,-0.07254377008551256,-0.06986192504913251,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,CWT_pyBOAT,primary_pearson,False,53,53,0.9796050930888167,0.9794631191413977,0.979757967199123,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,CWT_pyBOAT,dynamic_range_ratio,False,53,53,0.9185086270513368,0.9163767555727347,0.9203125183024655,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,CWT_pyBOAT,timing_error_hours,False,53,53,2.077396582111305,2.0279044897976632,2.077499220780936,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,CWT_pyBOAT,absolute_timing_error_hours,False,53,53,2.077396582111305,2.0279044897976632,2.077499220780936,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,CWT_pyBOAT,within_1h_fraction,False,53,53,1.0,1.0,1.0,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,Hilbert,primary_rmse_hours,True,53,53,0.23237299897337563,0.22704455201156268,0.2788179059588397,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,Hilbert,full_trajectory_rmse_hours,False,53,53,0.3445912466026692,0.3270870095679122,0.38125524582971554,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,Hilbert,primary_bias_hours,False,53,53,0.10913624541463168,0.1045460638539125,0.11838528900210459,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,Hilbert,primary_pearson,False,53,53,0.9878741715255386,0.981680735936235,0.9880248945124176,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,Hilbert,dynamic_range_ratio,False,53,53,1.1702233747143562,1.1648416368577859,1.1803786175266378,2000
